"GEOID1","MOVEDOUT_M","MOVEDIN","MOVEDOUT","MOVEDNET","MOVEDNET_M","year"
"2615322960",2,41,2,39,39,2013
"2615331940",27,42,27,15,15,2013
"2615337940",22,121,22,99,99,2013
"2615340840",41,15,41,-26,-26,2013
"2615350760",379,228,379,-151,-151,2013
"2615350780",44,57,44,10,10,2013
"2615372500",5,2,5,-3,-3,2013
"2615379580",26,133,26,107,107,2013
"2615322960",2,47,2,43,43,2014
"2615331940",31,39,31,8,8,2014
"2615337940",100,81,100,-19,-19,2014
"2615340840",105,28,105,-77,-77,2014
"2615350760",302,265,302,-37,-37,2014
"2615350780",89,64,89,-28,-28,2014
"2615356060",0,24,0,24,24,2014
"2615372500",3,2,3,-1,-1,2014
"2615379580",24,69,24,45,45,2014
"2615322960",2,44,2,40,40,2015
"2615331940",37,67,37,30,30,2015
"2615337940",103,62,103,-41,-41,2015
"2615340840",111,19,111,-92,-92,2015
"2615350760",305,278,305,-27,-27,2015
"2615350780",111,98,111,-16,-16,2015
"2615356060",0,31,0,31,31,2015
"2615372500",4,2,4,-2,-2,2015
"2615379580",31,66,31,35,35,2015
"2615322960",3,7,3,2,2,2016
"2615331940",46,29,46,-17,-17,2016
"2615337940",112,83,112,-29,-29,2016
"2615340840",96,25,96,-71,-71,2016
"2615350760",593,312,593,-281,-281,2016
"2615350780",106,76,106,-30,-30,2016
"2615356060",0,36,0,36,36,2016
"2615372500",4,5,4,1,1,2016
"2615379580",40,71,40,31,31,2016
"2600304460",24,89,24,62,62,2010
"2600311960",0,6,0,6,6,2010
"2600347540",43,14,43,-29,-29,2010
"2600352360",117,9,117,-108,-108,2010
"2600356200",425,245,425,-180,-180,2010
"2600356220",359,679,359,313,313,2010
"2600360820",58,8,58,-50,-50,2010
"2600369160",42,79,42,37,37,2010
"2600304460",42,66,42,24,24,2011
"2600311960",52,7,52,-45,-45,2011
"2600333380",0,24,0,24,24,2011
"2600347540",54,10,54,-44,-44,2011
"2600352360",84,6,84,-78,-78,2011
"2600356200",391,301,391,-90,-90,2011
"2600356220",277,622,277,345,345,2011
"2600360820",25,3,25,-22,-22,2011
"2600369160",49,91,49,42,42,2011
"2600304460",49,76,49,27,27,2012
"2600311960",28,7,28,-21,-21,2012
"2600333380",0,28,0,28,28,2012
"2600347540",47,12,47,-35,-35,2012
"2600352360",72,5,72,-67,-67,2012
"2600356200",420,344,420,-76,-76,2012
"2600356220",261,614,261,353,353,2012
"2600360820",10,6,10,-4,-4,2012
"2600369160",44,72,44,28,28,2012
"2600304460",89,85,89,-4,-4,2013
"2600311960",28,3,28,-25,-25,2013
"2600333380",0,30,0,30,30,2013
"2600347540",51,22,51,-29,-29,2013
"2600352360",78,18,78,-60,-60,2013
"2600356200",312,478,312,160,160,2013
"2600356220",305,618,305,313,313,2013
"2600360820",10,12,10,2,2,2013
"2600369160",46,86,46,40,40,2013
"2600304460",127,55,127,-72,-72,2014
"2600311960",30,4,30,-26,-26,2014
"2600333380",0,36,0,36,36,2014
"2600347540",46,21,46,-25,-25,2014
"2600352360",33,15,33,-18,-18,2014
"2600356200",406,381,406,-30,-30,2014
"2600356220",250,740,250,490,490,2014
"2600360820",8,11,8,3,3,2014
"2600369160",19,104,19,85,85,2014
"2600304460",140,42,140,-98,-98,2015
"2600311960",102,4,102,-98,-98,2015
"2600333380",0,32,0,32,32,2015
"2600347540",27,22,27,-5,-5,2015
"2600352360",63,17,63,-46,-46,2015
"2600356200",383,357,383,-31,-31,2015
"2600356220",269,676,269,407,407,2015
"2600360820",8,12,8,4,4,2015
"2600369160",104,74,104,-38,-38,2015
"2600304460",125,52,125,-73,-73,2016
"2600311960",68,6,68,-62,-62,2016
"2600333380",0,6,0,6,6,2016
"2600347540",0,20,0,20,20,2016
"2600352360",66,15,66,-51,-51,2016
"2600356200",335,276,335,-63,-63,2016
"2600356220",272,639,272,367,367,2016
"2600360820",0,9,0,9,9,2016
"2600369160",132,61,132,-79,-79,2016
"2612303700",94,246,94,141,141,2010
"2612305620",39,33,39,-6,-6,2010
"2612306580",33,50,33,14,14,2010
"2612308280",85,388,85,303,303,2010
"2612310500",108,168,108,60,60,2010
"2612311060",102,343,102,232,232,2010
"2612318980",129,207,129,78,78,2010
"2612319960",73,278,73,205,205,2010
"2612321700",185,202,185,12,12,2010
"2612326160",72,194,72,122,122,2010
"2612326700",110,94,110,-20,-20,2010
"2612330700",985,556,985,-445,-445,2010
"2612331640",110,287,110,173,173,2010
"2612333000",0,41,0,39,39,2010
"2612334360",241,187,241,-62,-62,2010
"2612334380",367,198,367,-220,-220,2010
"2612338860",0,19,0,19,19,2010
"2612347440",71,45,71,-26,-26,2010
"2612347700",39,104,39,65,65,2010
"2612353160",21,20,21,-1,-1,2010
"2612355060",12,18,12,6,6,2010
"2612357080",1144,533,1144,-611,-611,2010
"2612359300",10,80,10,70,70,2010
"2612373120",48,137,48,89,89,2010
"2612373260",68,346,68,278,278,2010
"2612380680",22,66,22,44,44,2010
"2612386680",1000,671,1000,-329,-329,2010
"2612387200",85,90,85,5,5,2010
"2612303700",118,130,118,1,1,2011
