"o_fips","n_return_out","n_exempt_out","agi","year"
"18109",8778,17900,358173,2012
"18111",1617,3277,58494,2012
"18113",4922,10059,154637,2012
"18115",1455,3033,56889,2012
"18117",1802,3551,48724,2012
"18119",2586,5586,115779,2012
"18121",1544,3010,41144,2012
"18123",1198,2183,40780,2012
"18125",1287,2491,47814,2012
"18127",17369,33912,785735,2012
"18129",2936,5634,122389,2012
"18131",1259,2536,40320,2012
"18133",3866,7568,136539,2012
"18135",2682,5543,77249,2012
"18137",3129,6684,127167,2012
"18139",1836,3637,59514,2012
"18141",24116,45617,1018674,2012
"18143",2448,4864,72545,2012
"18145",4910,10103,199750,2012
"18147",2738,5559,99867,2012
"18149",2282,4723,73701,2012
"18151",3864,7406,247467,2012
"18153",1923,3589,62150,2012
"18155",1013,2104,30434,2012
"18157",20761,36844,803159,2012
"18159",1610,3175,53872,2012
"18161",828,1692,24864,2012
"18163",17270,32388,761970,2012
"18165",1682,3216,51498,2012
"18167",10352,19413,418485,2012
"18169",3065,6159,103710,2012
"18171",912,1916,31948,2012
"18173",7296,14508,362417,2012
"18175",2752,5509,89791,2012
"18177",5655,10921,210809,2012
"18179",2767,5455,120823,2012
"18181",3083,5921,114010,2012
"18183",3464,6896,144923,2012
"19000",218523,405632,9261371,2012
"19001",869,1569,46500,2012
"19003",437,889,15882,2012
"19005",1456,2902,47823,2012
"19007",1091,2054,32360,2012
"19009",520,1032,24045,2012
"19011",2742,5493,120003,2012
"19013",12117,21795,553588,2012
"19015",2835,5261,103535,2012
"19017",2479,4302,107317,2012
"19019",2108,4013,92874,2012
"19021",2339,4994,87232,2012
"19023",1262,2374,45080,2012
"19025",1139,2123,40392,2012
"19027",2171,3968,81271,2012
"19029",1374,2550,47599,2012
"19031",2300,4168,95230,2012
"19033",4443,8078,198919,2012
"19035",1125,2051,36936,2012
"19037",1175,2154,50171,2012
"19039",1126,2321,34964,2012
"19041",1909,3373,72807,2012
"19043",1687,2999,57392,2012
"19045",4623,8909,180544,2012
"19047",1813,3951,59234,2012
"19049",11280,21252,545449,2012
"19051",660,1502,25681,2012
"19053",830,1565,23157,2012
"19055",1513,2880,60020,2012
"19057",3630,7021,149097,2012
"19059",2084,3744,90334,2012
"19061",8036,14866,334681,2012
"19063",929,1863,30095,2012
"19065",2122,3778,74727,2012
"19067",1350,2692,48305,2012
"19069",1100,2272,37563,2012
"19071",997,2068,33477,2012
"19073",972,1763,33440,2012
"19075",1223,2413,56115,2012
"19077",1265,2496,60570,2012
"19079",1551,2965,58168,2012
"19081",1089,2048,45394,2012
"19083",1575,2934,59535,2012
"19085",1421,2600,59258,2012
"19087",2078,3807,65265,2012
"19089",957,1742,33220,2012
"19091",894,1669,36724,2012
"19093",648,1113,18989,2012
"19095",1702,3067,69878,2012
"19097",1895,3452,69668,2012
"19099",3640,6979,155811,2012
"19101",1896,3252,116318,2012
"19103",19114,31398,844716,2012
"19105",1880,3402,74703,2012
"19107",959,1908,35042,2012
"19109",1208,2262,42496,2012
"19111",2935,5420,106230,2012
"19113",18810,33685,898386,2012
"19115",1304,2634,41339,2012
"19117",826,1517,29957,2012
"19119",876,1778,35458,2012
"19121",1740,3712,79510,2012
"19123",2237,4597,89714,2012
"19125",3080,6304,174363,2012
"19127",4002,7934,142736,2012
